종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"034730","SK","KOSPI","기타금융","248500","-2500","-1.00","18016921695500"
"011790","SKC","KOSPI","화학","107200","-1200","-1.11","4059481545600"
"018670","SK가스","KOSPI","유통","232500","-2000","-0.85","2149519230000"
"001740","SK네트웍스","KOSPI","유통","4550","-55","-1.19","1006814454100"
"006120","SK디스커버리","KOSPI","기타금융","57900","-600","-1.03","1062340804500"
"006125","SK디스커버리우","KOSPI","기타금융","39300","-50","-0.13","51579481500"
"210980","SK디앤디","KOSPI","부동산","12740","20","0.16","237185446680"
"395400","SK리츠","KOSPI","부동산","5700","80","1.42","1691866128300"
"302440","SK바이오사이언스","KOSPI","제약","50700","-300","-0.59","3973315651500"
"326030","SK바이오팜","KOSPI","일반서비스","128500","-500","-0.39","10063252625000"
"402340","SK스퀘어","KOSPI","기타금융","315000","0","0.00","41607441225000"
"361610","SK아이이테크놀로지","KOSPI","전기·전자","27400","-150","-0.54","2240966540000"
"100090","SK오션플랜트","KOSPI","금속","19980","-220","-1.09","1248313017420"
"03473K","SK우","KOSPI","기타금융","189200","-1000","-0.53","107112742000"
"096770","SK이노베이션","KOSPI","화학","106200","-300","-0.28","17953406085600"
"096775","SK이노베이션우","KOSPI","화학","73600","-200","-0.27","91884153600"
"475150","SK이터닉스","KOSPI","건설","21600","-400","-1.82","729087307200"
"001510","SK증권","KOSPI","증권","654","-7","-1.06","309073971834"
"001515","SK증권우","KOSPI","증권","2285","115","5.30","8940094490"
"285130","SK케미칼","KOSPI","화학","70100","-500","-0.71","1212643496600"
"28513K","SK케미칼우","KOSPI","화학","29900","250","0.84","63251327100"
"017670","SK텔레콤","KOSPI","통신","53400","200","0.38","11469788830200"
"000660","SK하이닉스","KOSPI","전기·전자","584000","4000","0.69","425153381160000"
"003570","SNT다이내믹스","KOSPI","운송장비·부품","48300","-700","-1.43","1606105265100"
"064960","SNT모티브","KOSPI","운송장비·부품","34800","0","0.00","923601465600"
"100840","SNT에너지","KOSPI","기계·장비","38700","-800","-2.03","800346302100"
"036530","SNT홀딩스","KOSPI","기타금융","58300","-400","-0.68","950516553800"
"005610","SPC삼립","KOSPI","음식료·담배","53000","-700","-1.30","457337477000"
"011810","STX","KOSPI","유통","3530","0","0.00","109493282310"
"465770","STX그린로지스","KOSPI","운송·창고","5980","-100","-1.64","42882771360"
"077970","STX엔진","KOSPI","기계·장비","39100","400","1.03","1569789263300"
"002820","SUN&L","KOSPI","종이·목재","2590","-35","-1.33","32654691510"
"084870","TBH글로벌","KOSPI","섬유·의류","1262","3","0.24","26321305578"
"002710","TCC스틸","KOSPI","금속","15140","-250","-1.62","396875372580"
"069260","TKG휴켐스","KOSPI","화학","19670","-60","-0.30","804081825960"
"007980","TP","KOSPI","섬유·의류","1920","-20","-1.03","98256249600"
"002900","TYM","KOSPI","기계·장비","6350","-200","-3.05","262890000000"
"024070","WISCOM","KOSPI","화학","1969","11","0.56","30177756422"
"037270","YG PLUS","KOSPI","IT 서비스","6890","170","2.53","438638827900"
"139130","iM금융지주","KOSPI","기타금융","15610","340","2.23","2529673336260"
"000500","가온전선","KOSPI","전기·전자","84700","-1200","-1.40","1401201840500"
"000860","강남제비스코","KOSPI","화학","12770","-50","-0.39","166010000000"
"035250","강원랜드","KOSPI","오락·문화","18810","90","0.48","4024220805000"
"011420","갤럭시아에스엠","KOSPI","오락·문화","1905","-40","-2.06","52482071820"
"002100","경농","KOSPI","화학","9440","10","0.11","184293108000"
"009450","경동나비엔","KOSPI","전기·전자","55800","-500","-0.89","812927433600"
"267290","경동도시가스","KOSPI","전기·가스","21550","-150","-0.69","127045999300"
"012320","경동인베스트","KOSPI","기타금융","52800","-300","-0.56","124873214400"
"000050","경방","KOSPI","유통","9410","-170","-1.77","257977690700"
"214390","경보제약","KOSPI","제약","5890","-60","-1.01","140811405400"
"012610","경인양행","KOSPI","화학","4170","215","5.44","173540242050"
"009140","경인전자","KOSPI","전기·전자","20800","-300","-1.42","32672577600"
"013580","계룡건설","KOSPI","건설","20800","-300","-1.42","185762865600"
"012200","계양전기","KOSPI","기계·장비","4475","1030","29.90","121822159775"
"012205","계양전기우","KOSPI","기계·장비","9520","2190","29.88","11129632080"
"002140","고려산업","KOSPI","음식료·담배","2530","-25","-0.98","63096745250"
"010130","고려아연","KOSPI","금속","1356000","-27000","-1.95","26229464628000"
"002240","고려제강","KOSPI","금속","20500","0","0.00","553500000000"
"009290","광동제약","KOSPI","제약","5980","-100","-1.64","313476688980"
"017040","광명전기","KOSPI","전기·전자","1240","-16","-1.27","53738642600"
"017900","광전자","KOSPI","전기·전자","1805","-9","-0.50","104588492215"
"037710","광주신세계","KOSPI","유통","31900","-100","-0.31","253834361000"
"030610","교보증권","KOSPI","증권","9760","30","0.31","1112278499360"
"339770","교촌에프앤비","KOSPI","유통","4495","-25","-0.55","224593034600"
"007690","국도화학","KOSPI","화학","33550","0","0.00","310700913600"
"001140","국보","KOSPI","운송·창고","2110","0","0.00","33456978680"
"002720","국제약품","KOSPI","제약","4335","-75","-1.70","91727871720"
"083420","그린케미칼","KOSPI","화학","6750","-50","-0.74","162000000000"
"014530","극동유화","KOSPI","화학","3535","30","0.86","123263399700"
"014280","금강공업","KOSPI","금속","6830","-190","-2.71","200319508310"
"014285","금강공업우","KOSPI","금속","10460","-340","-3.15","6170092500"
"008870","금비","KOSPI","비금속","52800","200","0.38","52800000000"
"001570","금양","KOSPI","화학","9900","0","0.00","633275240400"
"002990","금호건설","KOSPI","건설","4300","-65","-1.49","159086068000"
"002995","금호건설우","KOSPI","건설","24600","-10500","-29.91","7189743600"
"011780","금호석유화학","KOSPI","화학","126000","1200","0.96","3279999492000"
"011785","금호석유화학우","KOSPI","화학","63900","200","0.31","193200755400"
"214330","금호에이치티","KOSPI","운송장비·부품","540","-3","-0.55","117745115400"
"001210","금호전기","KOSPI","전기·전자","582","-17","-2.84","35824426254"
"073240","금호타이어","KOSPI","화학","6080","-190","-3.03","1746542544960"
"092440","기신정기","KOSPI","기계·장비","2300","-10","-0.43","67160000000"
"000270","기아","KOSPI","운송장비·부품","120200","-900","-0.74","46927642359600"
"024110","기업은행","KOSPI","은행","21150","-200","-0.94","16865557129350"
"013700","까뮤이앤씨","KOSPI","건설","1214","-14","-1.14","72537507620"
"004540","깨끗한나라","KOSPI","종이·목재","1921","-18","-0.93","71539371253"
"004545","깨끗한나라우","KOSPI","종이·목재","11620","120","1.04","4254779200"
"001260","남광토건","KOSPI","건설","8130","-100","-1.22","79938810360"
"008350","남선알미늄","KOSPI","금속","1013","-29","-2.78","130757118170"
"008355","남선알미우","KOSPI","금속","12770","-330","-2.52","3931755300"
"004270","남성","KOSPI","유통","924","-4","-0.43","33460035840"
"003920","남양유업","KOSPI","음식료·담배","51300","0","0.00","307800000000"
"003925","남양유업우","KOSPI","음식료·담배","34350","-100","-0.29","68700000000"
"025860","남해화학","KOSPI","화학","6750","-30","-0.44","335332190250"
"005720","넥센","KOSPI","화학","6110","-160","-2.55","327153699470"
"005725","넥센우","KOSPI","화학","4410","-50","-1.12","15878646000"
"002350","넥센타이어","KOSPI","화학","7730","-260","-3.25","754972689210"
"002355","넥센타이어1우B","KOSPI","화학","3750","-15","-0.40","24375000000"
"092790","넥스틸","KOSPI","금속","9530","-190","-1.95","247799060000"
"251270","넷마블","KOSPI","IT 서비스","49100","-500","-1.01","4220316948200"
"090350","노루페인트","KOSPI","화학","8800","20","0.23","176000000000"
"090355","노루페인트우","KOSPI","화학","13670","10","0.07","6330932420"
"000320","노루홀딩스","KOSPI","기타금융","22750","-200","-0.87","302373685250"
"000325","노루홀딩스우","KOSPI","기타금융","32500","0","0.00","7915667500"
"006280","녹십자","KOSPI","제약","159700","-4400","-2.68","1866340118600"
"005250","녹십자홀딩스","KOSPI","일반서비스","16570","-240","-1.43","779257439700"
"005257","녹십자홀딩스2우","KOSPI","일반서비스","25600","-700","-2.66","21657344000"
"004370","농심","KOSPI","음식료·담배","433500","-1500","-0.34","2636825307000"
"072710","농심홀딩스","KOSPI","기타금융","92600","-100","-0.11","429459354000"
"058730","다스코","KOSPI","금속","3300","-70","-2.08","62029905300"
"030210","다올투자증권","KOSPI","증권","3555","-15","-0.42","216538981830"
"023590","다우기술","KOSPI","IT 서비스","39650","-100","-0.25","1778961364050"
"145210","다이나믹디자인","KOSPI","기계·장비","793","-17","-2.10","33107167938"
"483650","달바글로벌","KOSPI","화학","149000","-7700","-4.91","1839243335000"
"019680","대교","KOSPI","일반서비스","1915","-8","-0.42","162205957750"
"019685","대교우B","KOSPI","일반서비스","1252","1","0.08","24322591480"
"006370","대구백화점","KOSPI","유통","5870","-40","-0.68","63522856570"
"008060","대덕","KOSPI","기타금융","10400","-370","-3.44","352457560000"
"00806K","대덕1우","KOSPI","기타금융","9040","-240","-2.59","10959707280"
